Category,Subcategory,Location,Manufacturer Name,Manufacturer Part Number,Item Description,UOM,Price,Volume,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP83101,"MRKR,FLAIR,ULTRAFN,BE",EA, 1.12 , 97 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP74214,"PEN,BLPT,PLASMA RT,FN,BE",EA, 5.96 , 18 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP85581,"PEN,RET,FLX GRP EL,MD,BE",EA, 1.45 , 60 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP61301,"PEN,BLPT,COMFRTMTE,MED,BK",DZ, 2.02 , 34 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP26505,"PEN,BLPT,XTEND,MED,PE",EA, 1.47 , 45 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP90906,"PCL,MECH,FLEXGRP,.5MM,BE",EA, 1.86 , 22 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP63301,"PEN,BLPT,COMFTMATE,MED,BK",DZ, 3.23 , 9 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,ROG21016,"PEN RFL,STAYPT,BK,EA",EA, 2.12 , 13 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP12242,"PCL,WD,#2,EARTHWRITE,DZ",DZ, 0.54 , 40 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP95101,"PEN,BLPT,FLXGRP,RET,MD,BE",EA, 0.80 , 25 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP66400,"LEAD,.5MM,105/PK",PK105, 3.91 , 5 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,ROG21026,"PEN,BLPT,CNTR,STAYPT,BK",EA, 3.84 , 5 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP54374,"PEN,PNCL,STYLS,XTNDMLT,BK",EA1, 4.39 , 4 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP85583,"PEN,RET,FLX GRP EL,FN,BE",EA, 1.51 , 11 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP96301,"PEN,BLPT,FLXGRP,STK,MD,BK",EA, 1.16 , 14 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP30301,"PCL,MECH,.7MM,SHRPWRTR,YW",DZ, 1.49 , 7 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP66401,"LEAD,.7MM,105/PK",PK105, 5.03 , 2 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP70520,"ERASER,PCL,PK/PA,MD",EA, 0.29 , 24 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,PAPERMATE INC,PAP90911,"PCL,MECH,FLEXGRP,.7MM,BK",EA1, 1.46 , 1 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,PARKER PEN,30315,"PEN RFL,BLPT,FN,BK",EA1, 4.24 , 4 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,PARKER PEN,30316,"PEN RFL,BLPT,MED,BK,EA",EA1, 3.28 , 4 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,BK90C,"PEN,BLPT,RFLBLE,FN,BE,DZ",DZ, 11.37 , 68 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,P205A,"PCL,MECH,.5MM,BK,EA",EA, 0.58 ," 1,294 ",
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,BK91A,"PEN,BLPT,RFLBLE,MED,BK,EA",DZ, 12.11 , 39 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,A127C,"PCL,MECH,.7MM,SHRPLTII,BE",EA, 0.60 , 534 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,BK90A,"PEN,BLPT,RFLBLE,FN,BK,DZ",DZ, 3.80 , 72 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,BK91C,"PEN,BLPT,RFLBLE,MED,BE,EA",DZ, 9.32 , 23 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,K918C,"PEN,GEL,RSVP,.4MM,BE",EA, 1.49 , 85 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,A75A,"PCL,MECH,FORTEII,.5MM,BK",EA, 2.40 , 36 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,Z21,"ERASER,MECH PCL,3TB",TB, 0.64 , 72 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,K918B,"PEN,GEL,RSVP,.4MM,RD",EA, 1.42 , 31 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,ZEH10,"ERASER,PCL,SUPERHI-POLYMR",EA, 0.66 , 63 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,A57C,"PCL,MECH,.7MM,RIDGED",EA, 1.82 , 22 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,BL17A,"PEN,ROLR,ENERGEL,.7MM,BK",EA, 1.91 , 16 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,509HB,"LEAD,MECH PCL,HB,.9MM,12",TB, 0.43 , 45 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,BL40A,"PEN,BLPT,RET,ENGL,1.0,MTL",EA, 2.37 , 7 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,AZ125A,"PCL,MECH,5MM,BK,EA",EA, 1.24 , 5 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,K105A,"PEN,ROLR,HYBRID2,BK",EA, 0.36 , 17 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,50HB,"LEAD,MECH PCL,HB,.7MM,12",TB, 0.26 , 21 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,PG523E,"PCL,MECH,.3MM,GRAPH GEAR",EA1, 5.36 , 1 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PENTAL CORP,BK90V,"PEN,BLPT,RSVP,FINE,VT",EA, 1.06 , 5 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL31020,"PEN,ROLR,GEL,FN,BK",EA, 1.96 , 173 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL31021,"PEN,ROLR,GEL,FN,BE",EA, 2.05 , 81 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL31004,"PEN,ROLR,XFN,RD",EA, 1.75 , 81 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL11007,"MRKR,RAZOR PT,XFN,RD,EA",EA, 1.75 , 56 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL14002,"PEN,ROLR,NEO-GEL,.7MM,BE",EA, 1.16 , 63 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL30000,"PEN,BLPT,RET,FN,BK,EA",EA, 1.49 , 41 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL35572,"PEN,VGRIP,RLLR,RD",EA, 2.44 , 25 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL35470,"PEN,ROLR,VBALL,GRP,XFN,BK",EA, 1.95 , 27 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL31003,"PEN,ROLR,GEL,XFN,BE",EA, 1.99 , 24 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL31022,"PEN,ROLR,GEL,FN,RD",EA, 1.60 , 29 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL35571,"PEN,VGRIP,RLLR,BE",EA, 2.47 , 18 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL35335,"PEN,ROLR,PRCISE,V5,XFN,BE",EA, 1.94 , 21 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL31025,"PEN,ROLR,RT,G2,GEL,FN,GN",EA, 1.99 , 17 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL35570,"PEN,VGRIP,RLLR,BK",EA, 1.96 , 17 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL36101,"PCL,BLPT,RET,DR GRIP,B",EA1, 8.94 , 1 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL35334,"PEN,ROLR,PRCISE,V5,XFN,BK",EA, 1.83 , 3 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL32210,"PEN,BLPT,ESYTCH,RET,FN,BK",EA, 0.86 , 6 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL77210,"PEN RFL,BLPT,RET,FN,BK,2",PK2, 1.19 , 4 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL28902,"PEN,ROLR,PRCS GRIP,BLD,BE",EA1, 2.45 , 1 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,PILOT PEN (CRESTAR),PIL28903,"PEN,ROLR,PRCS GRIP,BLD,RD",EA1, 2.24 , 1 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN60153,"PEN,UNIBALL,MCRO,.5MM,BE",EA, 0.39 ," 3,315 ",
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN13601,"MRKR,SHARPIE,INDUS,FN,BK",EA, 0.30 ," 3,110 ",
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN30001,"MRKR,SHARPIE,PERM,FN,BK",EA, 0.80 , 633 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN38250,"MRKR,CHSL,SHARPIE,8ST",ST, 9.23 , 45 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN60151,"PEN,UNIBALL,MCRO,.5MM,BK",EA, 0.19 ," 1,978 ",
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN83074,"MRKR,EXPO,DRY ERS,4ST",ST, 6.69 , 34 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN80001,"MRKR,DRY ERS,CHSL,BK",EA, 0.65 , 312 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN65801,"PEN,ROLR,GEL,IMPACT,BE",EA, 3.07 , 58 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN15001,"MRKR,PERM,KING SZ,BK",EA, 0.53 , 320 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN24406,"HILITER,LIQ ACNT,FOR",EA, 1.42 , 108 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN25005,"HILITER,MJR ACNT,YW",EA, 0.25 , 615 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN82004,"MRKR,EXPO,2,BLLT,GN",EA, 1.76 , 86 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN32001,"MRKR,SHARPIE,TWN TIP,BK",EA, 1.77 , 77 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN82002,"MRKR,DRY ERS,BLT,RD",EA, 1.79 , 59 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN24425,"HILITER,LIQ ACNT,FYW",EA, 1.48 , 71 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN30002,"MRKR,SHARPIE,PERM,FN,RD",EA, 0.75 , 135 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN60103,"PEN,UNIBALL,FN,.7MM,BE",EA, 0.20 , 489 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN27025,"HILITER,PKT ACCENT,FYW",EA, 0.74 , 129 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN40173,"PEN,GEL,JTSTRM,.7MM,BK",EA, 2.35 , 38 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN80054,"MRKR KT,DRY ERS,8CHSL/4FN",KT12, 20.61 , 4 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN60025,"PEN,UNIBALL,DLX,.2MM,BK",EA, 2.72 , 30 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,PAP73201,"ERASER,MAGICRUB,DRFT FILM",EA, 0.72 , 113 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN24426,"HILITER,LIQ ACNT,GN",EA, 1.60 , 50 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN32701,"MRKR,SHARPIE RET,FN,BK,EA",EA, 2.56 , 29 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN82074,"MRKR,EXPO,DRY ERS,4ST",ST, 5.98 , 12 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN30074,"MRKR,SHARPIE,PERM,FN,4ST",ST, 3.90 , 17 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN81505,"ERASER,DRY ERS,EXPO",EA, 1.30 , 51 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN80004,"MRKR,DRY ERS,CHSL,GN",EA, 1.44 , 44 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN60152,"PEN,UNIBALL,MCRO,.5MM,RD",EA, 0.19 , 312 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN69000,"PEN,UNIBALL,VISN,.5MM,BK",EA, 3.05 , 18 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN25025,"HILITER,MJR ACNT,FYW",EA, 0.90 , 58 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN25006,"HILITER,MJR ACNT,FOR",EA, 0.94 , 53 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN21809,"HILITER,ACCENT,FLUR PK,EA",EA, 1.14 , 43 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN60102,"PEN,UNIBALL,FN,.7MM,RD",EA, 1.05 , 44 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN32702,"MRKR,SHARPIE,RET,FN,RD",EA, 2.45 , 18 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN82001,"MRKR,DRY ERS,BLT,BK",EA, 1.68 , 23 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN27006,"HILITER,PKT ACCENT,FOR",EA, 0.74 , 46 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN21806,"HILITER,ACCENT,FLUR OR,EA",EA, 1.30 , 25 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN27026,"HILITER,PKT ACCENT,FGN",EA, 0.75 , 40 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN13801,"MRKR,SHARPIE,INDUS,XFN,BK",EA, 1.08 , 26 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN25026,"HILITER,MJR ACNT,FGN",EA, 1.06 , 24 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN33001,"MRKR,SHARPIE,SUPR,BLD,BK",EA, 1.94 , 13 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN24410,"HILITER,LIQ ACNT,TBE",EA, 1.78 , 14 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN30004,"MRKR,SHARPIE,PERM,FN,GN",EA, 0.74 , 26 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN35002,"MRKR,SHARPIE,XFN,RD",EA, 0.85 , 22 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN35004,"MRKR,SHARPIE,XFN,GN",EA, 1.02 , 18 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN65800,"PEN,ROLR,GEL,IMPACT,BK",EA, 2.46 , 6 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN37001,"MRKR,SHARPIE,ULTRAFN,BK",EA, 0.90 , 16 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN38201,"MRKR,CHSL,SHARPIE,BK",EA, 1.36 , 10 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN25019,"HILITER,MJR ACNT,LV",EA, 0.97 , 14 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN21825,"HILITER,ACCENT,FLUR YW,EA",EA, 1.08 , 12 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN24429,"HILITER,LIQ ACNT,FPK",EA, 1.47 , 8 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN27019,"HILITER,PKT ACCENT,LV",EA, 0.96 , 11 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN27009,"HILITER,PKT ACCENT,PK",EA, 0.64 , 15 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN82003,"MRKR,DRY ERS,BLT,BE",EA, 1.54 , 6 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN35003,"MRKR,SHARPIE,XFN,BE",EA, 0.80 , 11 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN32274,"MRKR,SHARPIE,TWN TP,4ST",ST4, 8.35 , 1 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN83001,"MRKR,EXPO,DRY ERS,CHSL,BK",EA, 0.91 , 9 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN64326,"HILITER,BROAD,YW",EA, 0.16 , 45 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN10001,"MRKR,PERM,DLX,HD,BK",EA, 1.24 , 4 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN88074,"MRKR,EXPO,DRY ERS,BLT,4ST",ST4, 4.10 , 1 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN73030,"ERASER,ART GUM,2X1X7/8",EA1, 0.74 , 4 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN70531,"ERASER,KNEAD,RUBR,LG",EA1, 0.71 , 4 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN30003,"MRKR,SHARPIE,PERM,FN,BE",EA, 0.86 , 3 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN65872,"PEN,UNIBALL,GEL,1.0MM,RD",EA1, 2.53 , 1 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN24408,"HILITER,LIQ ACNT,PE",EA, 1.89 , 1 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,SANFORD,SAN25009,"HILITER,MJR ACNT,PK",EA, 0.94 , 2 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,UNKNOWN,2-8269F,PENS,EA, 0.91 ," 2,950 ",
Office Supplies,"Pens, Pencils & Markers",Middlebury,ZEBRA PEN CORP,ZEB27110,"PEN,BLPT,RET,F301,SS,BK",EA, 2.09 , 49 ,
Office Supplies,"Pens, Pencils & Markers",Middlebury,ZEBRA PEN CORP,ZEB44110,"PEN,ROLR,JIMNIE,GEL,BK",EA, 1.62 , 16 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE24148,"MRKR,MRKSALOT,CHSL,BK",EA, 3.09 , 85 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE08888,"MRKR,MRKSALOT,LG,BK",EA, 0.86 , 90 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE59402,"HILITER,RETRCT,ASTD,10/PK",PK10, 14.79 , 5 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE24069,"HILITER,CMFRT GP,FYW",EA, 0.33 , 159 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE07745,"HILITER,DESK STYLE,GN",DZ12, 10.11 , 5 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE08886,"MRKR,MRKSALOT,LG,BE",EA, 0.69 , 42 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE24052,"HILITER,DESK STYLE,4ST",ST4, 3.80 , 7 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE07888,"MRKR,MRKSALOT,REG,BK",EA, 0.67 , 38 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE07887,"MRKR,MRKSALOT,REG,RD",EA, 1.11 , 22 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE08885,"MRKR,MRKSALOT,LG,GN",EA, 1.26 , 13 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE49949,"PEN,ROLR,EGEL,AST",PK1, 8.17 , 2 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE17752,"HILITER,DESK STYLE,4ST",ST4, 3.78 , 3 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE49796,"PEN,ROLR,E-GLDE,BE",EA1, 2.22 , 5 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE48865,"HILITER,SWING,COOL,AST,6",ST6, 8.61 , 1 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE49986,"PEN,ROLR,EGEL,BE",EA, 1.86 , 4 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,AVERY CONSUMER PROD,AVE24878,"MRKR,MRKSALOT,BLT,BK",EA1, 0.89 , 7 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,BIC CORP,SGSM11BE,"PEN,BLPT,CUSHN,STK,MED,BE",DZ, 8.58 , 106 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,BIC CORP,MPG11,"PCL,BICMATIC,GRIP,.7MM",DZ, 8.00 , 80 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,BIC CORP,R411BK,"PEN,ROLR,LIQUID INK,BK",EA, 1.62 , 61 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,BIC CORP,SGSF11BK,"PEN,BLPT,CUSHN,STK,FN,BK",DZ, 7.09 , 11 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,BIC CORP,GSMG11BK,"PEN,BLPT,RND STK,MED,BK",DZ, 4.14 , 7 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,BIC CORP,MPFG11,"PCL,MECH,GRIP,.5MM,12/DZ",DZ12, 8.04 , 2 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,BIC CORP,BL11BE,"HILITER,BRTLNR,CHSL TP,BE",DZ12, 2.20 , 5 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,BIC CORP,MPAG11,"PCL,MECH,ATLANTUS,.7MM",EA1, 1.11 , 5 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,BIC CORP,SCSM11BK,"PEN,BLPT,CUSHN,RET,MED,BK",DZ12, 4.27 , 1 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,BIC CORP,R411BE,"PEN,ROLR,LIQUID INK,BE",EA, 1.32 , 3 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,BIC CORP,MS11BE,"PEN,BLPT,CLSC,MED,BE,12DZ",DZ12, 3.91 , 1 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,BIC CORP,B411YW,"HILITER,YW,EA",EA1, 1.24 , 1 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,CEB51224,"PEN,BLPT,RND STK,MD,BE,DZ",DZ, 2.72 , 172 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,EXP50021,"PEN,BLPT,RET,MD,BE",EA, 0.54 , 411 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,EXP52056,"PEN,BLPT,CUSHN,RET,MED,BE",EA, 0.62 , 232 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,CEB50505,"PCL,MECH,RD,EA",EA, 0.60 , 206 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,EXP50020,"PEN,BLPT,RET,MD,BK",EA, 0.57 , 214 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,CEB51222,"HILITER,PKT,YW,DZ",EA, 0.84 , 138 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,EXP50103,"MRKR,ULTRAFN,BK",EA, 0.74 , 144 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,CEB50090,"MRKR,PERM,BK,EA",EA, 0.48 , 217 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,CEB51225,"PEN,BLPT,RND STK,MD,BK,DZ",DZ, 2.36 , 40 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,CEB50020,"PEN,BLPT,RET,MD,BK",EA, 0.64 , 148 ,
Office Supplies Rd 2 NonCore,"Pens, Pencils & Markers",Roxborough,CEXP,CEB60999,"SHARPENER,PCL,ELEC,BK",EA1, 16.62 , 5 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,CEB50091,"MRKR,PERM,RD,EA",EA, 0.44 , 177 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,CEB50888,"MRKR,REG,BK,DZ",EA, 0.17 , 423 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,EXP50107,"PEN,FN PT,GN",EA, 0.84 , 82 ,
Office Supplies,"Pens, Pencils & Markers",Roxborough,CEXP,EXP50028,"PEN,BLPT,STK,FN,BE,DZ",EA, 0.17 , 367 ,
